form,cisi_number,site,iconography,raw_sequence,role_sequence,cluster_sequence,length
seal_543,M-0189,Mohenjo-daro,buffalo,M075 M267 M220,START END END,2 3 1,3
seal_544,M-0190,Mohenjo-daro,unicorn,M059 M375 M342 M176 M089,LINK LINK END END END,1 0 3 3 1,5
seal_545,C-0023,Chanhu-daro,unicorn,M003 M342 M129 M367 M391,START END CORE END END,2 3 0 1 1,5
seal_546,L-0046,Lothal,buffalo,M063 M162 M121 M336 M267,START END CORE END END,2 1 0 1 3,5
seal_547,SK-0021,Surkotada,unicorn,M061 M342 M267 M342 M176 M367,START END END END END END,2 3 3 3 3 1,6
seal_548,K-0039,Kalibangan,gharial,M079 M371 M308 M267 M099 M342,START CORE CORE END END END,2 0 0 3 3 3,6
seal_549,H-0166,Harappa,unicorn,M078 M099,START END,2 3,2
seal_550,L-0047,Lothal,geometric,M031 M336 M305,START END END,2 1 1,3
seal_551,C-0024,Chanhu-daro,unicorn,M056 M125 M329 M336,START END CORE END,2 1 0 1,4
seal_552,M-0191,Mohenjo-daro,rhinoceros,M017 M342 M243 M293 M211,START END CORE END END,2 3 0 1 1,5
seal_553,M-0192,Mohenjo-daro,unicorn,M037 M336 M342 M342 M059 M267 M336,START END END END LINK END END,2 1 3 3 1 3 1,7
seal_554,C-0025,Chanhu-daro,script only,M001 M162 M051 M267 M059,START END END END LINK,2 1 1 3 1,5
seal_555,H-0167,Harappa,rhinoceros,M034 M211 M342 M328 M103 M162 M249,START END END END CORE END END,2 1 3 1 0 1 1,7
seal_556,M-0193,Mohenjo-daro,unicorn,M058 M328 M176 M099 M059,START END END END LINK,2 1 3 3 1,5
seal_557,M-0194,Mohenjo-daro,tiger,M391 M171 M391 M267 M099 M099 M381 M367,END CORE END END END END CORE END,1 0 1 3 3 3 0 1,8
seal_558,C-0026,Chanhu-daro,zebu bull,M057 M336 M305,START END END,2 1 1,3
seal_559,M-0195,Mohenjo-daro,elephant,M233 M267 M342 M176 M099 M059 M267 M233,END END END END END LINK END END,1 3 3 3 3 1 3 1,8
seal_560,L-0048,Lothal,gharial,M001 M176 M233,START END END,2 3 1,3
seal_561,H-0168,Harappa,elephant,M016 M342 M176 M342,START END END END,2 3 3 3,4
seal_562,DK-0037,Dholavira,tiger,M017 M342 M176 M099 M342 M059,START END END END END LINK,2 3 3 3 3 1,6
seal_563,DK-0038,Dholavira,unicorn,M019 M211 M336 M065 M367,START END END END END,2 1 1 1 1,5
seal_564,M-0196,Mohenjo-daro,rhinoceros,M018 M211 M176 M342,START END END END,2 1 3 3,4
seal_565,H-0169,Harappa,zebu bull,M064 M211,START END,2 1,2
seal_566,SK-0022,Surkotada,rhinoceros,M080 M249,START END,2 1,2
seal_567,M-0197,Mohenjo-daro,unicorn,M035 M211 M342 M249,START END END END,2 1 3 1,4
seal_568,DK-0039,Dholavira,unicorn,M336 M332 M254 M211 M059,END LINK CORE END LINK,1 0 0 1 1,5
seal_569,H-0170,Harappa,zebu bull,M074 M239 M367 M367,START CORE END END,2 0 1 1,4
seal_570,M-0198,Mohenjo-daro,rhinoceros,M064 M328 M267 M099 M367,START END END END END,2 1 3 3 1,5
seal_571,BN-0018,Banawali,gharial,M063 M342 M012,START END END,2 3 1,3
seal_572,L-0049,Lothal,elephant,M045 M176 M211,START END END,2 3 1,3
seal_573,L-0050,Lothal,zebu bull,M062 M087 M183 M267 M099 M293,START END CORE END END END,2 1 0 3 3 1,6
seal_574,H-0171,Harappa,elephant,M045 M051 M087 M125,START END END END,2 1 1 1,4
seal_575,H-0172,Harappa,unicorn,M009 M154 M342 M051,START CORE END END,2 0 3 1,4
seal_576,H-0173,Harappa,script only,M053 M357 M293 M293 M328 M401 M305,START CORE END END END LINK END,2 0 1 1 1 0 1,7
seal_577,M-0199,Mohenjo-daro,elephant,M016 M293 M342 M176 M089,START END END END END,2 1 3 3 1,5
seal_578,BN-0019,Banawali,elephant,M016 M243 M267 M138 M125,START CORE END CORE END,2 0 3 0 1,5
seal_579,M-0200,Mohenjo-daro,zebu bull,M391 M328 M087,END END END,1 1 1,3
seal_580,DK-0040,Dholavira,unicorn,M026 M233 M342 M048,START END END END,2 1 3 1,4
seal_581,L-0051,Lothal,unicorn,M099 M342 M211 M302 M012,END END END CORE END,3 3 1 0 1,5
seal_582,M-0201,Mohenjo-daro,elephant,M051 M342 M087,END END END,1 3 1,3
seal_583,M-0202,Mohenjo-daro,unicorn,M051 M176 M176 M099 M264 M267,END END END END CORE END,1 3 3 3 0 3,6
seal_584,C-0027,Chanhu-daro,elephant,M037 M267 M220,START END END,2 3 1,3
seal_585,C-0028,Chanhu-daro,unicorn,M176 M249 M383 M367 M051,END END LINK END END,3 1 0 1 1,5
seal_586,K-0040,Kalibangan,script only,M065 M293 M177 M048,END END CORE END,1 1 0 1,4
seal_587,DK-0041,Dholavira,geometric,M004 M267 M099 M211 M391,START END END END END,2 3 3 1 1,5
seal_588,H-0174,Harappa,zebu bull,M073 M162 M099 M328 M059,START END END END LINK,2 1 3 1 1,5
seal_589,C-0029,Chanhu-daro,geometric,M014 M336,START END,2 1,2
seal_590,H-0175,Harappa,zebu bull,M050 M342 M162,START END END,2 3 1,3
seal_591,H-0176,Harappa,geometric,M061 M087 M176,START END END,2 1 3,3
seal_592,H-0177,Harappa,elephant,M024 M255 M211 M328,START CORE END END,2 0 1 1,4
seal_593,L-0052,Lothal,unicorn,M056 M117 M267 M125,START CORE END END,2 0 3 1,4
seal_594,H-0178,Harappa,script only,M391 M065 M367 M328,END END END END,1 1 1 1,4
seal_595,H-0179,Harappa,rhinoceros,M336 M012 M342 M336,END END END END,1 1 3 1,4
seal_596,M-0203,Mohenjo-daro,zebu bull,M030 M099 M391,START END END,2 3 1,3
seal_597,M-0204,Mohenjo-daro,script only,M033 M267 M099 M116 M293 M342,START END END CORE END END,2 3 3 0 1 3,6
seal_598,M-0205,Mohenjo-daro,rhinoceros,M008 M012,START END,2 1,2
seal_599,M-0206,Mohenjo-daro,unicorn,M013 M176 M099 M345 M336,START END END CORE END,2 3 3 0 1,5
seal_600,M-0207,Mohenjo-daro,unicorn,M002 M012 M087 M162,START END END END,2 1 1 1,4
seal_601,M-0208,Mohenjo-daro,elephant,M211 M342 M089 M367,END END END END,1 3 1 1,4
seal_602,M-0209,Mohenjo-daro,unicorn,M089 M293 M059,END END LINK,1 1 1,3
seal_603,H-0180,Harappa,elephant,M011 M373 M110 M102 M048,START CORE CORE LINK END,2 0 0 0 1,5
seal_604,C-0030,Chanhu-daro,script only,M061 M089,START END,2 1,2
seal_605,M-0210,Mohenjo-daro,zebu bull,M025 M367 M342 M211,START END END END,2 1 3 1,4
seal_606,H-0181,Harappa,rhinoceros,M056 M392 M104 M328 M267 M217 M162,START CORE CORE END END CORE END,2 0 0 1 3 0 1,7
seal_607,M-0211,Mohenjo-daro,gharial,M293 M267 M099 M012 M293,END END END END END,1 3 3 1 1,5
seal_608,M-0212,Mohenjo-daro,unicorn,M336 M087 M099,END END END,1 1 3,3
seal_609,M-0213,Mohenjo-daro,unicorn,M061 M290 M235 M207 M267 M293,START CORE LINK CORE END END,2 0 0 0 3 1,6
seal_610,H-0182,Harappa,unicorn,M001 M048 M342 M342 M176 M247 M065,START END END END END CORE END,2 1 3 3 3 0 1,7
seal_611,H-0183,Harappa,unicorn,M002 M267 M367,START END END,2 3 1,3
seal_612,H-0184,Harappa,rhinoceros,M233 M342 M048 M048,END END END END,1 3 1 1,4
seal_613,H-0185,Harappa,rhinoceros,M064 M129 M267 M413 M267 M059,START CORE END CORE END LINK,2 0 3 0 3 1,6
seal_614,BN-0020,Banawali,tiger,M053 M334 M065 M342 M211 M059,START CORE END END END LINK,2 0 1 3 1 1,6
seal_615,M-0214,Mohenjo-daro,elephant,M044 M059 M099,START LINK END,2 1 3,3
seal_616,M-0215,Mohenjo-daro,unicorn,M042 M342 M089 M267 M267 M051,START END END END END END,2 3 1 3 3 1,6
seal_617,H-0186,Harappa,unicorn,M009 M342 M125,START END END,2 3 1,3
seal_618,H-0187,Harappa,rhinoceros,M063 M176 M099 M181 M059,START END END CORE LINK,2 3 3 0 1,5
seal_619,DK-0042,Dholavira,rhinoceros,M006 M319 M375 M051,START CORE LINK END,2 0 0 1,4
seal_620,M-0216,Mohenjo-daro,zebu bull,M054 M089 M391 M233,START END END END,2 1 1 1,4
seal_621,K-0041,Kalibangan,unicorn,M267 M012 M278 M048,END END CORE END,3 1 0 1,4
seal_622,BN-0021,Banawali,elephant,M056 M374 M048,START LINK END,2 0 1,3
seal_623,H-0188,Harappa,tiger,M066 M263 M293,START CORE END,2 0 1,3
seal_624,H-0189,Harappa,unicorn,M017 M171 M293 M267 M386 M342 M059,START CORE END END LINK END LINK,2 0 1 3 0 3 1,7
seal_625,C-0031,Chanhu-daro,unicorn,M087 M342 M176 M099 M342 M176 M267 M391,END END END END END END END END,1 3 3 3 3 3 3 1,8
seal_626,H-0190,Harappa,unicorn,M079 M328 M267,START END END,2 1 3,3
seal_627,H-0191,Harappa,rhinoceros,M076 M211 M328 M328,START END END END,2 1 1 1,4
seal_628,H-0192,Harappa,zebu bull,M046 M267 M342 M089,START END END END,2 3 3 1,4
seal_629,L-0053,Lothal,unicorn,M071 M267 M099 M162,START END END END,2 3 3 1,4
seal_630,H-0193,Harappa,unicorn,M267 M162 M328,END END END,3 1 1,3
seal_631,M-0217,Mohenjo-daro,unicorn,M076 M059 M267 M099 M342 M176 M342,START LINK END END END END END,2 1 3 3 3 3 3,7
seal_632,M-0218,Mohenjo-daro,unicorn,M005 M342 M162 M162 M065,START END END END END,2 3 1 1 1,5
seal_633,C-0032,Chanhu-daro,zebu bull,M034 M211 M099,START END END,2 1 3,3
seal_634,C-0033,Chanhu-daro,script only,M050 M293 M260 M099 M176 M099,START END CORE END END END,2 1 0 3 3 3,6
seal_635,M-0219,Mohenjo-daro,zebu bull,M017 M233,START END,2 1,2
seal_636,M-0220,Mohenjo-daro,elephant,M077 M012 M385 M211,START END CORE END,2 1 0 1,4
seal_637,H-0194,Harappa,zebu bull,M056 M089,START END,2 1,2
seal_638,M-0221,Mohenjo-daro,unicorn,M013 M065,START END,2 1,2
seal_639,M-0222,Mohenjo-daro,elephant,M081 M342 M125,START END END,2 3 1,3
seal_640,M-0223,Mohenjo-daro,zebu bull,M367 M342 M087,END END END,1 3 1,3
seal_641,H-0195,Harappa,elephant,M039 M099 M168 M012 M048,START END LINK END END,2 3 0 1 1,5
seal_642,RGR-0013,Rakhigarhi,elephant,M011 M220,START END,2 1,2
seal_643,H-0196,Harappa,unicorn,M034 M342 M162 M125,START END END END,2 3 1 1,4
seal_644,H-0197,Harappa,script only,M025 M293 M176,START END END,2 1 3,3
seal_645,C-0034,Chanhu-daro,geometric,M070 M342 M125 M155 M342,START END END CORE END,2 3 1 0 3,5
seal_646,M-0224,Mohenjo-daro,gharial,M018 M099 M162 M293,START END END END,2 3 1 1,4
seal_647,M-0225,Mohenjo-daro,unicorn,M342 M176 M143 M048,END END CORE END,3 3 0 1,4
seal_648,M-0226,Mohenjo-daro,zebu bull,M053 M291 M391 M328,START CORE END END,2 0 1 1,4
seal_649,C-0035,Chanhu-daro,unicorn,M038 M099,START END,2 3,2
seal_650,M-0227,Mohenjo-daro,elephant,M048 M285 M228 M414 M162 M342 M342,END CORE CORE CORE END END END,1 0 0 0 1 3 3,7
seal_651,H-0198,Harappa,script only,M051 M099 M342 M176 M099 M391,END END END END END END,1 3 3 3 3 1,6
seal_652,H-0199,Harappa,elephant,M051 M342 M336 M099,END END END END,1 3 1 3,4
seal_653,SK-0023,Surkotada,geometric,M293 M267 M367 M012,END END END END,1 3 1 1,4
seal_654,H-0200,Harappa,unicorn,M061 M267 M342 M367,START END END END,2 3 3 1,4
seal_655,C-0036,Chanhu-daro,rhinoceros,M037 M267 M398 M342 M176,START END CORE END END,2 3 0 3 3,5
seal_656,BN-0022,Banawali,tiger,M089 M254 M089 M342 M162 M336,END CORE END END END END,1 0 1 3 1 1,6
seal_657,L-0054,Lothal,unicorn,M015 M293 M059,START END LINK,2 1 1,3
seal_658,H-0201,Harappa,unicorn,M071 M342 M012,START END END,2 3 1,3
seal_659,SK-0024,Surkotada,unicorn,M342 M162 M391 M065,END END END END,3 1 1 1,4
seal_660,L-0055,Lothal,unicorn,M005 M267 M099 M293 M342,START END END END END,2 3 3 1 3,5
seal_661,K-0042,Kalibangan,unicorn,M025 M267,START END,2 3,2
seal_662,K-0043,Kalibangan,buffalo,M053 M267 M342 M342 M342,START END END END END,2 3 3 3 3,5
seal_663,DK-0043,Dholavira,zebu bull,M003 M391,START END,2 1,2
seal_664,M-0228,Mohenjo-daro,elephant,M045 M176 M267,START END END,2 3 3,3
seal_665,M-0229,Mohenjo-daro,elephant,M016 M328 M187 M336 M351 M059 M267 M162,START END CORE END CORE LINK END END,2 1 0 1 0 1 3 1,8
seal_666,DK-0044,Dholavira,unicorn,M059 M089 M211 M099,LINK END END END,1 1 1 3,4
seal_667,SK-0025,Surkotada,unicorn,M004 M267 M099 M125 M329 M187 M233,START END END END CORE CORE END,2 3 3 1 0 0 1,7
seal_668,H-0202,Harappa,unicorn,M022 M282 M176 M099 M336,START CORE END END END,2 0 3 3 1,5
seal_669,M-0230,Mohenjo-daro,unicorn,M022 M176 M099 M305,START END END END,2 3 3 1,4
seal_670,M-0231,Mohenjo-daro,rhinoceros,M060 M336 M211,START END END,2 1 1,3
seal_671,H-0203,Harappa,zebu bull,M014 M401 M367,START LINK END,2 0 1,3
seal_672,M-0232,Mohenjo-daro,rhinoceros,M041 M350 M219 M125 M294 M293,START CORE CORE END CORE END,2 0 0 1 0 1,6
seal_673,H-0204,Harappa,geometric,M293 M328 M267 M099 M222 M089 M367,END END END END CORE END END,1 1 3 3 0 1 1,7
seal_674,H-0205,Harappa,zebu bull,M057 M342 M395 M293,START END CORE END,2 3 0 1,4
seal_675,H-0206,Harappa,unicorn,M082 M125,START END,2 1,2
seal_676,L-0056,Lothal,elephant,M176 M099 M262 M099 M218 M048,END END CORE END CORE END,3 3 0 3 0 1,6
seal_677,H-0207,Harappa,rhinoceros,M067 M089 M367 M087 M218 M059 M249,START END END END CORE LINK END,2 1 1 1 0 1 1,7
seal_678,M-0233,Mohenjo-daro,unicorn,M041 M087,START END,2 1,2
seal_679,H-0208,Harappa,zebu bull,M077 M105 M280 M048 M328,START CORE CORE END END,2 0 0 1 1,5
seal_680,M-0234,Mohenjo-daro,rhinoceros,M067 M220,START END,2 1,2
seal_681,M-0235,Mohenjo-daro,geometric,M049 M065 M328,START END END,2 1 1,3
seal_682,M-0236,Mohenjo-daro,zebu bull,M052 M342 M176 M099 M391 M059 M125,START END END END END LINK END,2 3 3 3 1 1 1,7
seal_683,M-0237,Mohenjo-daro,geometric,M075 M059 M267 M099 M233,START LINK END END END,2 1 3 3 1,5
seal_684,M-0238,Mohenjo-daro,elephant,M039 M059 M089 M328,START LINK END END,2 1 1 1,4
seal_685,H-0209,Harappa,script only,M005 M099 M211 M342,START END END END,2 3 1 3,4
seal_686,M-0239,Mohenjo-daro,zebu bull,M018 M215 M412 M342,START CORE CORE END,2 0 0 3,4
seal_687,H-0210,Harappa,unicorn,M006 M176,START END,2 3,2
seal_688,L-0057,Lothal,buffalo,M041 M293,START END,2 1,2
seal_689,SK-0026,Surkotada,unicorn,M058 M305,START END,2 1,2
seal_690,K-0044,Kalibangan,zebu bull,M012 M176 M099 M336,END END END END,1 3 3 1,4
seal_691,SK-0027,Surkotada,zebu bull,M010 M176 M099 M367 M336 M099 M176,START END END END END END END,2 3 3 1 1 3 3,7
seal_692,M-0240,Mohenjo-daro,unicorn,M019 M391 M233 M059,START END END LINK,2 1 1 1,4
seal_693,K-0045,Kalibangan,geometric,M063 M099 M342 M176 M391,START END END END END,2 3 3 3 1,5
seal_694,M-0241,Mohenjo-daro,geometric,M035 M342 M176 M051 M233,START END END END END,2 3 3 1 1,5
seal_695,M-0242,Mohenjo-daro,unicorn,M038 M065 M051,START END END,2 1 1,3
seal_696,M-0243,Mohenjo-daro,zebu bull,M053 M293 M302 M012 M176,START END CORE END END,2 1 0 1 3,5
seal_697,H-0211,Harappa,unicorn,M028 M347 M367 M087,START LINK END END,2 0 1 1,4
seal_698,C-0037,Chanhu-daro,unicorn,M030 M370 M065,START CORE END,2 0 1,3
seal_699,M-0244,Mohenjo-daro,geometric,M328 M342 M342 M099,END END END END,1 3 3 3,4
seal_700,M-0245,Mohenjo-daro,unicorn,M002 M334 M176 M154 M336,START CORE END CORE END,2 0 3 0 1,5
seal_701,M-0246,Mohenjo-daro,zebu bull,M026 M267,START END,2 3,2
seal_702,H-0212,Harappa,zebu bull,M013 M211 M342 M294 M328,START END END CORE END,2 1 3 0 1,5
seal_703,SK-0028,Surkotada,unicorn,M267 M367 M089,END END END,3 1 1,3
seal_704,M-0247,Mohenjo-daro,elephant,M050 M328 M267 M099 M051,START END END END END,2 1 3 3 1,5
seal_705,SK-0029,Surkotada,buffalo,M047 M099 M342 M391 M267 M099 M012,START END END END END END END,2 3 3 1 3 3 1,7
seal_706,DK-0045,Dholavira,unicorn,M065 M336 M162 M267 M220,END END END END END,1 1 1 3 1,5
seal_707,M-0248,Mohenjo-daro,zebu bull,M025 M249,START END,2 1,2
seal_708,H-0213,Harappa,rhinoceros,M051 M198 M087 M051,END LINK END END,1 0 1 1,4
seal_709,SK-0030,Surkotada,zebu bull,M073 M305,START END,2 1,2
seal_710,C-0038,Chanhu-daro,zebu bull,M034 M267 M099 M012,START END END END,2 3 3 1,4
seal_711,H-0214,Harappa,unicorn,M080 M342 M087,START END END,2 3 1,3
seal_712,M-0249,Mohenjo-daro,zebu bull,M043 M089 M125,START END END,2 1 1,3
seal_713,M-0250,Mohenjo-daro,gharial,M053 M336 M087 M176 M367,START END END END END,2 1 1 3 1,5
seal_714,RGR-0014,Rakhigarhi,unicorn,M328 M270 M345 M065,END CORE CORE END,1 0 0 1,4
seal_715,H-0215,Harappa,unicorn,M058 M373 M051 M336,START CORE END END,2 0 1 1,4
seal_716,H-0216,Harappa,unicorn,M162 M089,END END,1 1,2
seal_717,DK-0046,Dholavira,rhinoceros,M030 M342 M065,START END END,2 3 1,3
seal_718,M-0251,Mohenjo-daro,unicorn,M019 M162 M293 M099 M367,START END END END END,2 1 1 3 1,5
seal_719,H-0217,Harappa,unicorn,M038 M328 M048 M342 M249,START END END END END,2 1 1 3 1,5
seal_720,M-0252,Mohenjo-daro,zebu bull,M074 M267,START END,2 3,2
seal_721,M-0253,Mohenjo-daro,rhinoceros,M067 M342 M328,START END END,2 3 1,3
seal_722,M-0254,Mohenjo-daro,unicorn,M015 M339 M087,START CORE END,2 0 1,3
seal_723,M-0255,Mohenjo-daro,elephant,M069 M051,START END,2 1,2
seal_724,H-0218,Harappa,zebu bull,M035 M267 M099 M065,START END END END,2 3 3 1,4
seal_725,M-0256,Mohenjo-daro,script only,M078 M059 M267 M208 M267 M087,START LINK END CORE END END,2 1 3 0 3 1,6
seal_726,K-0046,Kalibangan,script only,M070 M267 M211,START END END,2 3 1,3
seal_727,M-0257,Mohenjo-daro,tiger,M040 M391,START END,2 1,2
seal_728,RGR-0015,Rakhigarhi,zebu bull,M018 M176 M099 M065 M305,START END END END END,2 3 3 1 1,5
seal_729,H-0219,Harappa,script only,M042 M087 M089,START END END,2 1 1,3
seal_730,M-0258,Mohenjo-daro,script only,M072 M367 M089 M367,START END END END,2 1 1 1,4
seal_731,SK-0031,Surkotada,buffalo,M007 M328,START END,2 1,2
seal_732,M-0259,Mohenjo-daro,unicorn,M078 M386 M048 M176,START LINK END END,2 0 1 3,4
seal_733,H-0220,Harappa,elephant,M020 M048 M012 M176 M099 M155 M162,START END END END END CORE END,2 1 1 3 3 0 1,7
seal_734,K-0047,Kalibangan,unicorn,M078 M124 M012,START CORE END,2 0 1,3
seal_735,H-0221,Harappa,rhinoceros,M068 M211 M367,START END END,2 1 1,3
seal_736,H-0222,Harappa,geometric,M233 M059 M342 M396 M293 M048 M099 M099,END LINK END CORE END END END END,1 1 3 0 1 1 3 3,8
seal_737,L-0058,Lothal,rhinoceros,M060 M342 M328 M342 M104 M099 M293,START END END END CORE END END,2 3 1 3 0 3 1,7
seal_738,M-0260,Mohenjo-daro,unicorn,M035 M267 M267 M249,START END END END,2 3 3 1,4
seal_739,M-0261,Mohenjo-daro,script only,M022 M102 M311 M102 M089,START LINK CORE LINK END,2 0 0 0 1,5
seal_740,M-0262,Mohenjo-daro,zebu bull,M017 M138 M391 M065,START CORE END END,2 0 1 1,4
seal_741,K-0048,Kalibangan,elephant,M069 M211 M176 M099 M065,START END END END END,2 1 3 3 1,5
seal_742,H-0223,Harappa,elephant,M010 M342 M305,START END END,2 3 1,3
seal_743,H-0224,Harappa,unicorn,M078 M059 M059,START LINK LINK,2 1 1,3
seal_744,BN-0023,Banawali,unicorn,M035 M233 M336 M089 M211 M342 M249,START END END END END END END,2 1 1 1 1 3 1,7
seal_745,M-0263,Mohenjo-daro,zebu bull,M073 M374 M099 M328 M336,START LINK END END END,2 0 3 1 1,5
seal_746,C-0039,Chanhu-daro,elephant,M079 M356 M211 M051,START CORE END END,2 0 1 1,4
seal_747,H-0225,Harappa,buffalo,M031 M342 M048,START END END,2 3 1,3
seal_748,M-0264,Mohenjo-daro,script only,M047 M217 M292 M336,START CORE CORE END,2 0 0 1,4
seal_749,C-0040,Chanhu-daro,zebu bull,M052 M267 M162 M012,START END END END,2 3 1 1,4
seal_750,H-0226,Harappa,unicorn,M065 M328 M391 M089,END END END END,1 1 1 1,4
seal_751,M-0265,Mohenjo-daro,unicorn,M031 M342 M162,START END END,2 3 1,3
seal_752,M-0266,Mohenjo-daro,zebu bull,M328 M161 M391,END CORE END,1 0 1,3
seal_753,DK-0047,Dholavira,tiger,M054 M211,START END,2 1,2
seal_754,K-0049,Kalibangan,geometric,M031 M342 M307 M176 M099 M342 M051,START END CORE END END END END,2 3 0 3 3 3 1,7
seal_755,H-0227,Harappa,unicorn,M020 M210 M391 M342 M099,START CORE END END END,2 0 1 3 3,5
seal_756,M-0267,Mohenjo-daro,zebu bull,M062 M328,START END,2 1,2
seal_757,H-0228,Harappa,script only,M038 M065,START END,2 1,2
seal_758,M-0268,Mohenjo-daro,unicorn,M017 M141 M048,START CORE END,2 0 1,3
seal_759,M-0269,Mohenjo-daro,unicorn,M059 M274 M109 M162,LINK CORE CORE END,1 0 0 1,4
seal_760,M-0270,Mohenjo-daro,geometric,M211 M176 M276 M048 M367,END END CORE END END,1 3 0 1 1,5
seal_761,H-0229,Harappa,tiger,M018 M339 M065,START CORE END,2 0 1,3
seal_762,DK-0048,Dholavira,script only,M055 M391 M051 M176 M328,START END END END END,2 1 1 3 1,5
seal_763,DK-0049,Dholavira,zebu bull,M011 M267,START END,2 3,2
seal_764,H-0230,Harappa,zebu bull,M057 M048 M176 M342 M176 M048,START END END END END END,2 1 3 3 3 1,6
seal_765,H-0231,Harappa,zebu bull,M057 M176 M099 M211 M065,START END END END END,2 3 3 1 1,5
seal_766,K-0050,Kalibangan,unicorn,M071 M342 M342 M342 M328,START END END END END,2 3 3 3 1,5
seal_767,M-0271,Mohenjo-daro,tiger,M066 M211 M391 M149 M176 M336,START END END LINK END END,2 1 1 0 3 1,6
seal_768,K-0051,Kalibangan,elephant,M065 M199 M293 M051 M059,END CORE END END LINK,1 0 1 1 1,5
seal_769,H-0232,Harappa,tiger,M025 M259 M330 M237 M293 M112 M065,START CORE CORE LINK END CORE END,2 0 0 0 1 0 1,7
seal_770,L-0059,Lothal,elephant,M016 M089,START END,2 1,2
seal_771,L-0060,Lothal,unicorn,M342 M342 M125 M048,END END END END,3 3 1 1,4
seal_772,M-0272,Mohenjo-daro,zebu bull,M027 M051,START END,2 1,2
seal_773,M-0273,Mohenjo-daro,tiger,M063 M012 M087,START END END,2 1 1,3
seal_774,L-0061,Lothal,zebu bull,M065 M176 M391,END END END,1 3 1,3
seal_775,H-0233,Harappa,buffalo,M074 M174 M293 M048,START CORE END END,2 0 1 1,4
seal_776,H-0234,Harappa,unicorn,M050 M367,START END,2 1,2
seal_777,L-0062,Lothal,unicorn,M048 M233 M299 M087,END END CORE END,1 1 0 1,4
seal_778,L-0063,Lothal,elephant,M039 M059,START LINK,2 1,2
seal_779,SK-0032,Surkotada,tiger,M018 M162,START END,2 1,2
seal_780,C-0041,Chanhu-daro,elephant,M010 M293 M149 M089 M342 M267 M328,START END LINK END END END END,2 1 0 1 3 3 1,7
seal_781,H-0235,Harappa,unicorn,M002 M336 M176,START END END,2 1 3,3
seal_782,M-0274,Mohenjo-daro,rhinoceros,M065 M342,END END,1 3,2
seal_783,K-0052,Kalibangan,elephant,M061 M293 M293 M267 M099 M051,START END END END END END,2 1 1 3 3 1,6
seal_784,DK-0050,Dholavira,rhinoceros,M060 M342 M328 M164 M328 M391,START END END CORE END END,2 3 1 0 1 1,6
seal_785,L-0064,Lothal,unicorn,M054 M048 M099 M051,START END END END,2 1 3 1,4
seal_786,M-0275,Mohenjo-daro,zebu bull,M032 M290 M048 M099,START CORE END END,2 0 1 3,4
seal_787,K-0053,Kalibangan,gharial,M071 M293 M065,START END END,2 1 1,3
seal_788,M-0276,Mohenjo-daro,zebu bull,M040 M153 M176 M099 M176,START CORE END END END,2 0 3 3 3,5
seal_789,M-0277,Mohenjo-daro,rhinoceros,M007 M012,START END,2 1,2
seal_790,L-0065,Lothal,zebu bull,M037 M188 M342 M342 M336,START CORE END END END,2 0 3 3 1,5
seal_791,K-0054,Kalibangan,unicorn,M004 M048,START END,2 1,2
seal_792,H-0236,Harappa,elephant,M066 M296 M228 M286 M125 M416 M305,START CORE CORE CORE END CORE END,2 0 0 0 1 0 1,7
seal_793,M-0278,Mohenjo-daro,zebu bull,M056 M109 M185 M065,START CORE LINK END,2 0 0 1,4
seal_794,K-0055,Kalibangan,zebu bull,M037 M327 M391 M367,START CORE END END,2 0 1 1,4
seal_795,H-0237,Harappa,zebu bull,M028 M342 M233,START END END,2 3 1,3
seal_796,M-0279,Mohenjo-daro,script only,M029 M202 M342,START CORE END,2 0 3,3
seal_797,H-0238,Harappa,script only,M004 M012 M370 M342,START END CORE END,2 1 0 3,4
seal_798,M-0280,Mohenjo-daro,rhinoceros,M125 M391 M162 M012,END END END END,1 1 1 1,4
seal_799,H-0239,Harappa,script only,M013 M216 M065,START CORE END,2 0 1,3
seal_800,M-0281,Mohenjo-daro,rhinoceros,M021 M211 M342 M176 M012,START END END END END,2 1 3 3 1,5
seal_801,M-0282,Mohenjo-daro,geometric,M004 M367 M328 M099,START END END END,2 1 1 3,4
seal_802,BN-0024,Banawali,script only,M176 M099 M342 M267 M162 M367 M367 M233,END END END END END END END END,3 3 3 3 1 1 1 1,8
seal_803,K-0056,Kalibangan,elephant,M043 M355 M267 M162,START CORE END END,2 0 3 1,4
seal_804,L-0066,Lothal,unicorn,M059 M012 M367,LINK END END,1 1 1,3
seal_805,M-0283,Mohenjo-daro,zebu bull,M233 M391 M089 M222 M348 M099 M249,END END END CORE CORE END END,1 1 1 0 0 3 1,7
seal_806,SK-0033,Surkotada,unicorn,M066 M388 M099 M087 M162,START CORE END END END,2 0 3 1 1,5
seal_807,L-0067,Lothal,unicorn,M054 M089 M176 M267,START END END END,2 1 3 3,4
seal_808,H-0240,Harappa,script only,M014 M048 M162 M342 M367 M305,START END END END END END,2 1 1 3 1 1,6
seal_809,H-0241,Harappa,tiger,M058 M233,START END,2 1,2
seal_810,M-0284,Mohenjo-daro,rhinoceros,M003 M342 M176 M342 M336 M391,START END END END END END,2 3 3 3 1 1,6
seal_811,M-0285,Mohenjo-daro,unicorn,M075 M255 M099 M342 M176 M342 M162,START CORE END END END END END,2 0 3 3 3 3 1,7
